         11929346 function calls (11503602 primitive calls) in 10.075 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      859    0.005    0.000    0.005    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_node}
     3510    0.005    0.000    0.007    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\gast\gast.py:15(create_node)
28698/28691    0.005    0.000    0.011    0.000 {method 'join' of 'str' objects}
    36475    0.005    0.000    0.005    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:2937(is_en_passant)
      446    0.005    0.000    0.444    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:1782(_call_flat)
  2096/76    0.005    0.000    0.021    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\gast\astn.py:17(generic_visit)
     7837    0.005    0.000    0.013    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\object_identity.py:134(__getitem__)
    12576    0.005    0.000    0.016    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1127(__float__)
     1268    0.005    0.000    0.030    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:2675(get_attr)
        6    0.005    0.001    0.005    0.001 {built-in method io.open}
       19    0.005    0.000    0.037    0.002 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\training\tracking\autotrackable.py:79(_list_functions_for_serialization)
      400    0.005    0.000    0.005    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      859    0.005    0.000    0.017    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3820(_create_op_helper)
6691/3632    0.005    0.000    0.178    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
      172    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBufferFromString}
        4    0.004    0.001    0.004    0.001 {built-in method tensorflow.python.lib.io._pywrap_file_io.RecursivelyCreateDir}
       41    0.004    0.000    0.060    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:347(__exit__)
       45    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionToFunctionDef}
  746/717    0.004    0.000    0.154    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\func_graph.py:628(_create_op_internal)
    40420    0.004    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:168(__init__)
    17382    0.004    0.000    0.004    0.000 {built-in method _elementtree.SubElement}
     2333    0.004    0.000    0.008    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:155(is_compatible_with)
    40420    0.004    0.000    0.004    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:174(__exit__)
        8    0.004    0.001    0.048    0.006 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3473(_as_graph_def)
